TrustName,Sex_Desc,Age,Catchment,Patients,TrustCode
London North West University Healthcare NHS Trust,Female,85-89,"4,705",4917,R1K
London North West University Healthcare NHS Trust,Female,90+,"3,293",3928,R1K
Royal Surrey County Hospital NHS Foundation Trust,Male,00-04,"6,635",3885,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,05-Sep,"8,759",1343,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,Oct-14,"9,877",1144,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,15-19,"11,789",1785,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,20-24,"13,290",2059,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,25-29,"11,715",2067,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,30-34,"10,026",2001,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,35-39,"9,615",2131,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,40-44,"10,213",2265,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,45-49,"11,193",2668,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,50-54,"11,598",3316,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,55-59,"11,240",5073,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,60-64,"9,943",4318,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,65-69,"8,198",4327,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,70-74,"8,421",5199,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,75-79,"5,441",3917,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,80-84,"3,543",3005,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,85-89,"2,035",2249,RA2
Royal Surrey County Hospital NHS Foundation Trust,Male,90+,"1,104",1439,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,00-04,"6,341",3344,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,05-Sep,"8,360",1034,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,Oct-14,"10,050",1124,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,15-19,"11,160",2247,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,20-24,"11,411",3330,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,25-29,"9,525",3909,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,30-34,"8,835",5443,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,35-39,"10,294",4935,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,40-44,"11,526",3510,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,45-49,"12,262",3493,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,50-54,"12,432",4033,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,55-59,"12,012",5262,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,60-64,"10,113",3877,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,65-69,"8,228",3740,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,70-74,"8,898",4625,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,75-79,"6,264",3926,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,80-84,"4,529",3483,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,85-89,"3,136",2937,RA2
Royal Surrey County Hospital NHS Foundation Trust,Female,90+,"2,221",2466,RA2
Yeovil District Hospital NHS Foundation Trust,Male,00-04,"3,694",3015,RA4
Yeovil District Hospital NHS Foundation Trust,Male,05-Sep,"3,570",518,RA4
Yeovil District Hospital NHS Foundation Trust,Male,Oct-14,"4,162",535,RA4
Yeovil District Hospital NHS Foundation Trust,Male,15-19,"4,117",659,RA4
Yeovil District Hospital NHS Foundation Trust,Male,20-24,"3,651",705,RA4
Yeovil District Hospital NHS Foundation Trust,Male,25-29,"3,969",842,RA4
Yeovil District Hospital NHS Foundation Trust,Male,30-34,"4,100",862,RA4
Yeovil District Hospital NHS Foundation Trust,Male,35-39,"3,959",935,RA4
Yeovil District Hospital NHS Foundation Trust,Male,40-44,"3,961",957,RA4
Yeovil District Hospital NHS Foundation Trust,Male,45-49,"4,407",1233,RA4
Yeovil District Hospital NHS Foundation Trust,Male,50-54,"5,217",1536,RA4
Yeovil District Hospital NHS Foundation Trust,Male,55-59,"4,823",2172,RA4
Yeovil District Hospital NHS Foundation Trust,Male,60-64,"4,656",1980,RA4
Yeovil District Hospital NHS Foundation Trust,Male,65-69,"4,567",2303,RA4
Yeovil District Hospital NHS Foundation Trust,Male,70-74,"4,780",2842,RA4
Yeovil District Hospital NHS Foundation Trust,Male,75-79,"3,556",2672,RA4
Yeovil District Hospital NHS Foundation Trust,Male,80-84,"2,567",2387,RA4
Yeovil District Hospital NHS Foundation Trust,Male,85-89,"1,422",1736,RA4
Yeovil District Hospital NHS Foundation Trust,Male,90+,793,1164,RA4
Yeovil District Hospital NHS Foundation Trust,Female,00-04,"3,664",2672,RA4
Yeovil District Hospital NHS Foundation Trust,Female,05-Sep,"3,238",379,RA4
Yeovil District Hospital NHS Foundation Trust,Female,Oct-14,"4,189",533,RA4
Yeovil District Hospital NHS Foundation Trust,Female,15-19,"4,387",1102,RA4
Yeovil District Hospital NHS Foundation Trust,Female,20-24,"3,324",1657,RA4
Yeovil District Hospital NHS Foundation Trust,Female,25-29,"3,862",2398,RA4
Yeovil District Hospital NHS Foundation Trust,Female,30-34,"4,300",2365,RA4
Yeovil District Hospital NHS Foundation Trust,Female,35-39,"4,072",1724,RA4
Yeovil District Hospital NHS Foundation Trust,Female,40-44,"4,132",1392,RA4
Yeovil District Hospital NHS Foundation Trust,Female,45-49,"4,943",1528,RA4
Yeovil District Hospital NHS Foundation Trust,Female,50-54,"5,539",1737,RA4
Yeovil District Hospital NHS Foundation Trust,Female,55-59,"5,508",2280,RA4
Yeovil District Hospital NHS Foundation Trust,Female,60-64,"5,311",2004,RA4
Yeovil District Hospital NHS Foundation Trust,Female,65-69,"4,981",2182,RA4
Yeovil District Hospital NHS Foundation Trust,Female,70-74,"5,653",2955,RA4
Yeovil District Hospital NHS Foundation Trust,Female,75-79,"4,233",2676,RA4
Yeovil District Hospital NHS Foundation Trust,Female,80-84,"3,203",2568,RA4
Yeovil District Hospital NHS Foundation Trust,Female,85-89,"2,176",2318,RA4
Yeovil District Hospital NHS Foundation Trust,Female,90+,"1,758",2062,RA4
University Hospitals Bristol And Weston NHS Foundation Trust,Male,00-04,"22,053",17765,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,05-Sep,"38,869",5779,RA7
University Hospitals Bristol And Weston NHS Foundation Trust,Male,Oct-14,"37,523",4335,RA7
